[2021-10-13 19:47:23.696171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.697170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.699170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.700174]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.701175]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.702171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.703171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.704170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.706172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.707172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.708170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.709170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.710174]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.712171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.713171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.714171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.715171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.716172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.717171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.718171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.719170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.720173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.722170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.723171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.724171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.725171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.726174]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.728172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.729170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.730173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.731172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.732171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
